arr_size,arr_stride,step_count,elapsed_usec
268435456,4,58,90896726
268435456,8,30,90429974
268435456,16,17,92715657
268435456,32,10,98789642
268435456,64,10,98786361
268435456,128,10,98823526
268435456,256,10,99587978
268435456,512,9,90612650
268435456,1024,9,93015247
268435456,2048,9,98960267
268435456,4096,7,92785833
268435456,8192,7,93970416
268435456,16384,7,94242197
268435456,32768,7,94724972
268435456,65536,7,94733355
268435456,131072,7,94724906
268435456,262144,7,94726081
268435456,524288,7,94733397
268435456,1048576,7,94724989
268435456,2097152,7,94733527
268435456,4194304,7,94726314
268435456,8388608,7,94726323
268435456,16777216,7,94733601
268435456,33554432,7,94733297
268435456,67108864,235,90117845
268435456,134217728,235,90117847
134217728,4,58,90902695
134217728,8,30,90445080
134217728,16,17,92711871
134217728,32,10,98786354
134217728,64,10,98782060
134217728,128,10,98821000
134217728,256,10,99584536
134217728,512,9,90608930
134217728,1024,9,93010809
134217728,2048,9,98958492
134217728,4096,7,92785888
134217728,8192,7,93970544
134217728,16384,7,94242606
134217728,32768,7,94733578
134217728,65536,7,94725151
134217728,131072,7,94733751
134217728,262144,7,94733475
134217728,524288,7,94725234
134217728,1048576,7,94726333
134217728,2097152,7,94733545
134217728,4194304,7,94726318
134217728,8388608,7,94726408
134217728,16777216,7,94725194
134217728,33554432,235,90117844
134217728,67108864,235,90117852
67108864,4,58,90932224
67108864,8,31,92718625
67108864,16,17,92704123
67108864,32,10,98778632
67108864,64,10,98773095
67108864,128,10,98810430
67108864,256,10,99573299
67108864,512,9,90600824
67108864,1024,9,93002258
67108864,2048,9,98963477
67108864,4096,7,92784929
67108864,8192,7,93970438
67108864,16384,7,94245527
67108864,32768,7,94733395
67108864,65536,7,94733318
67108864,131072,7,94726187
67108864,262144,7,94726065
67108864,524288,7,94725087
67108864,1048576,7,94726325
67108864,2097152,7,94726325
67108864,4194304,7,94733751
67108864,8388608,7,94733567
67108864,16777216,235,90117849
67108864,33554432,235,90117845
33554432,4,58,90928673
33554432,8,31,92710144
33554432,16,17,92688089
33554432,32,10,98763270
33554432,64,10,98755737
33554432,128,10,98793100
33554432,256,10,99556122
33554432,512,9,90585092
33554432,1024,9,92987233
33554432,2048,9,98935912
33554432,4096,7,92784945
33554432,8192,7,93970382
33554432,16384,7,94242171
33554432,32768,7,94724954
33554432,65536,7,94724958
33554432,131072,7,94726174
33554432,262144,7,94733396
33554432,524288,7,94733401
33554432,1048576,7,94726307
33554432,2097152,7,94733661
33554432,4194304,7,94733528
33554432,8388608,235,90117845
33554432,16777216,235,90117853
16777216,4,58,90911367
16777216,8,31,92685501
16777216,16,17,92656500
16777216,32,10,98732374
16777216,64,10,98721503
16777216,128,10,98768774
16777216,256,10,99520823
16777216,512,9,90553353
16777216,1024,9,92957891
16777216,2048,9,98919842
16777216,4096,7,92785870
16777216,8192,7,93970546
16777216,16384,7,94242152
16777216,32768,7,94733232
16777216,65536,7,94733406
16777216,131072,7,94725002
16777216,262144,7,94724990
16777216,524288,7,94733459
16777216,1048576,7,94726157
16777216,2097152,7,94733102
16777216,4194304,235,90117854
16777216,8388608,235,90117852
8388608,4,58,90838220
8388608,8,31,92628635
8388608,16,17,92593328
8388608,32,10,98670733
8388608,64,10,98651629
8388608,128,10,98686226
8388608,256,10,99449266
8388608,512,9,90489256
8388608,1024,9,92887532
8388608,2048,9,98856618
8388608,4096,7,92784952
8388608,8192,7,93970424
8388608,16384,7,94260004
8388608,32768,7,94724849
8388608,65536,7,94725978
8388608,131072,7,94733116
8388608,262144,7,94726012
8388608,524288,7,94724984
8388608,1048576,7,94726014
8388608,2097152,235,90117846
8388608,4194304,235,90117848
4194304,4,58,90769107
4194304,8,30,90216664
4194304,16,17,92471073
4194304,32,10,98547386
4194304,64,10,98513006
4194304,128,10,98558600
4194304,256,10,99312099
4194304,512,9,90361934
4194304,1024,9,92766678
4194304,2048,9,98793508
4194304,4096,7,92785011
4194304,8192,7,93970397
4194304,16384,7,94245115
4194304,32768,7,94724797
4194304,65536,7,94733180
4194304,131072,7,94733166
4194304,262144,7,94726016
4194304,524288,7,94733157
4194304,1048576,235,90117850
4194304,2097152,235,90117845
2097152,4,58,90546627
2097152,8,31,92265743
2097152,16,17,92213973
2097152,32,10,98300435
2097152,64,10,98235158
2097152,128,10,98281135
2097152,256,10,99022993
2097152,512,9,90108143
2097152,1024,9,92523377
2097152,2048,9,98614173
2097152,4096,7,92785022
2097152,8192,7,93970532
2097152,16384,7,94245097
2097152,32768,7,94733088
2097152,65536,7,94733103
2097152,131072,7,94733242
2097152,262144,7,94733180
2097152,524288,235,90117848
2097152,1048576,235,90117854
1048576,4,58,90408071
1048576,8,31,92542834
1048576,16,17,91708792
1048576,32,10,97807063
1048576,64,10,97679202
1048576,128,10,97718338
1048576,256,10,98453386
1048576,512,10,99554608
1048576,1024,9,92077060
1048576,2048,9,98248212
1048576,4096,7,92784960
1048576,8192,7,93970419
1048576,16384,7,94242687
1048576,32768,7,94733264
1048576,65536,7,94726070
1048576,131072,7,94724830
1048576,262144,235,90117849
1048576,524288,235,90117848
524288,4,59,91376438
524288,8,31,90844782
524288,16,17,90697809
524288,32,10,96820283
524288,64,10,96568268
524288,128,10,96616080
524288,256,10,97332596
524288,512,10,98423910
524288,1024,9,91130660
524288,2048,9,97493044
524288,4096,7,92785822
524288,8192,7,93970381
524288,16384,7,94244544
524288,32768,7,94725907
524288,65536,7,94733155
524288,131072,235,90117846
524288,262144,235,90117847
262144,4,59,90319571
262144,8,32,92534084
262144,16,18,93958009
262144,32,10,94340920
262144,64,10,94349555
262144,128,10,94540862
262144,256,10,95098677
262144,512,10,96143223
262144,1024,10,98962411
262144,2048,9,96316229
262144,4096,7,92785779
262144,8192,7,93970530
262144,16384,7,94259639
262144,32768,7,94732852
262144,65536,235,90117850
262144,131072,235,90117846
131072,4,113,90446252
131072,8,64,90293909
131072,16,39,91973019
131072,32,25,92747220
131072,64,25,92363618
131072,128,25,92258409
131072,256,25,92219062
131072,512,25,92268084
131072,1024,25,92302844
131072,2048,24,91506085
131072,4096,17,91274735
131072,8192,17,91273896
131072,16384,17,91274005
131072,32768,235,90117846
131072,65536,235,90117851
65536,4,120,90487217
65536,8,70,90922835
65536,16,42,90186228
65536,32,27,91382375
65536,64,27,90534571
65536,128,27,90326865
65536,256,27,90330182
65536,512,27,90455424
65536,1024,27,90592923
65536,2048,26,93502827
65536,4096,17,91269403
65536,8192,17,91269434
65536,16384,235,90117847
65536,32768,235,90117849
32768,4,125,90649698
32768,8,84,91055872
32768,16,52,90366441
32768,32,34,90495216
32768,64,34,90537716
32768,128,34,90573312
32768,256,34,90822226
32768,512,34,90867285
32768,1024,34,91088975
32768,2048,29,91084781
32768,4096,17,91269435
32768,8192,235,90117845
32768,16384,235,90117850
16384,4,235,90117932
16384,8,235,90117908
16384,16,235,90117912
16384,32,235,90117903
16384,64,235,90117851
16384,128,235,90117853
16384,256,162,90299667
16384,512,235,90117846
16384,1024,235,90117848
16384,2048,235,90117849
16384,4096,235,90117843
16384,8192,235,90117847
8192,4,235,90117854
8192,8,235,90117845
8192,16,235,90117847
8192,32,235,90117848
8192,64,235,90117851
8192,128,235,90117847
8192,256,235,90117849
8192,512,235,90117852
8192,1024,235,90117849
8192,2048,235,90117849
8192,4096,235,90117848
4096,4,235,90117854
4096,8,235,90117848
4096,16,235,90117847
4096,32,235,90117850
4096,64,235,90117845
4096,128,235,90117846
4096,256,235,90117848
4096,512,235,90117846
4096,1024,235,90117847
4096,2048,235,90117845
2048,4,235,90117847
2048,8,235,90117853
2048,16,235,90117850
2048,32,235,90117853
2048,64,235,90117846
2048,128,235,90117849
2048,256,235,90117847
2048,512,235,90117848
2048,1024,235,90117853
1024,4,235,90117850
1024,8,235,90117846
1024,16,235,90117853
1024,32,235,90117852
1024,64,235,90117846
1024,128,235,90117847
1024,256,235,90117850
1024,512,235,90117848
